Gene	GliNS1	G144	G166	G179	CB541	CB660
ABLIM1	70	50	78	13	197	134
ABLIM2	0	1	1	8	25	7
ABLIM3	1	0	2	15	0	8
ABO	0	1	2	1	0	0
ABR	199	158	207	1137	538	460
ABRA	0	0	0	0	0	1
ABT1	51	31	157	25	48	42
ABTB1	11	12	27	10	11	18
ABTB2	19	9	21	12	94	33
ACAA1	34	52	66	104	120	88
ACAA2	144	109	62	156	134	189
ACACA	47	67	109	173	183	50
ACACB	2	2	7	1	9	7
ACAD10	36	19	66	1	33	22
ACAD11	109	70	131	17	61	26
ACAD8	22	43	26	56	33	28
ACAD9	116	53	376	256	228	133
ACADL	1	0	5	2	6	3
ACADM	69	67	95	2	55	65
ACADS	37	21	101	50	63	19
ACADSB	36	51	51	82	107	39
ACADVL	200	86	139	35	179	153
ACAS2	9	12	88	44	8	11
ACAS2L	3	2	9	8	1	1
ACAT1	111	141	487	195	288	112
ACAT2	165	153	360	25	88	138
ACATE2	12	19	96	41	74	37
ACBD3	213	169	351	692	866	192
ACBD4	4	0	12	2	1	1
ACBD5	14	21	50	5	38	23
ACBD6	130	167	334	123	112	159
ACBD7	6	1	15	9	22	30
ACCN2	20	14	57	40	10	17
ACCN3	11	6	9	28	3	3
ACCN4	1	0	0	0	0	0
ACD	9	3	69	117	28	52
ACDC	2	0	3	17	10	5
ACE	0	0	0	1	0	0
ACF	25	12	90	45	54	81
ACHE	199	75	4	37	15	2
ACIN1	44	0	186	0	3	3
ACLY	313	431	477	234	497	308
ACMSD	6	9	2	0	7	9
ACN9	133	128	159	399	114	169
ACO1	70	42	114	124	134	158
ACO2	348	309	735	1552	770	784
ACOT2	19	9	11	28	0	6
ACOT4	1	0	45	0	0	4
ACOT7	192	128	475	208	266	104
ACOT8	2	0	41	0	8	4
ACOT9	15	11	88	16	19	14
ACOX1	97	71	225	123	277	104
ACOX2	2	4	47	66	300	25
ACOX3	4	4	9	5	8	9
ACOXL	0	0	0	1	0	0
ACP1	239	303	864	942	1384	1587
ACP2	42	26	62	25	80	68
ACP5	0	1	0	0	0	0
ACP6	241	125	198	361	172	128
ACPL2	55	71	146	136	101	91
ACPP	7	5	6	6	4	7
ACR	0	0	3	0	13	4
ACRBP	0	0	2	2	0	2
ACRC	3	10	31	13	14	5
ACRV1	0	2	1	0	0	0
ACSBG1	7	4	0	2	52	5
ACSL1	5	3	230	77	14	11
ACSL3	440	521	795	1546	2158	413
ACSL4	63	68	410	126	66	78
ACSL5	2	2	6	52	21	4
ACSL6	19	46	3	1	0	0
ACSM2	0	4	2	0	0	3
ACSM3	1	0	12	0	10	3
ACSS1	91	26	72	48	15	73
ACSS2	55	30	147	18	83	47
ACTA1	74	28	113	10	65	64
ACTA2	0	0	160	182	824	358
ACTB	26071	16535	40825	11099	25909	45424
ACTC	1	0	0	0	0	477
ACTG1	2667	1349	10797	1712	14476	6785
ACTG2	26	23	44	29	3	228
ACTL6A	58	38	392	78	198	126
ACTL6B	0	2	0	0	0	1
ACTL8	0	0	0	1	1	0
ACTN1	463	669	3940	7604	4575	1482
ACTN2	12	30	0	0	0	10
ACTN4	3028	4178	6299	8247	7378	2673
ACTR10	77	61	115	30	33	33
ACTR1A	234	55	222	18	159	56
ACTR1B	18	3	63	1	40	10
ACTR2	3044	4056	3384	3964	8300	2469
ACTR3	319	264	464	830	584	379
ACTR3B	2	1	1	1	0	0
ACTR5	13	16	29	20	17	5
ACTR6	162	218	573	21	65	108
ACTR8	64	78	189	289	176	90
ACTRT1	0	0	0	1	0	0
ACVR1	7	3	6	31	0	3
ACVR1B	17	11	33	6	6	1
ACVR1C	0	0	1	0	0	0
ACVR2	14	21	38	41	43	76
ACVR2A	3	4	8	21	22	10
ACVR2B	2	0	10	3	6	3
ACVRL1	0	2	0	0	0	1
ACY1	10	21	60	3	17	19
ACY1L2	46	58	416	253	93	104
ACY3	0	0	0	3	0	0
ACYP1	59	61	487	155	69	72
ACYP2	58	81	224	240	282	280
AD-003	1	2	3	0	0	0
AD-020	9	4	63	24	19	9
AD023	0	0	27	30	1	3
AD031	51	36	16	48	32	64
AD7C-NTP	3	0	8	3	6	4
ADA	1889	1274	5042	5311	3713	3474
ADAL	0	1	2	0	12	5
ADAM10	251	188	278	403	638	270
ADAM11	9	7	0	1	1	0
ADAM12	932	333	110	144	191	66
ADAM15	74	40	374	76	58	72
ADAM17	101	69	214	560	283	100
ADAM18	0	0	0	0	2	1
ADAM19	118	100	879	142	555	264
ADAM20	0	0	0	5	0	0
ADAM21	6	4	4	0	0	0
ADAM22	264	238	19	116	254	56
ADAM23	66	48	41	61	59	29
ADAM28	0	0	1	0	0	3
ADAM32	0	0	2	0	12	2
ADAM33	35	11	49	12	22	28
ADAM8	0	1	12	7	2	3
ADAM9	581	411	1590	2589	3047	1423
ADAMDEC1	0	0	1	0	0	0
ADAMTS1	61	192	78	94	0	37
ADAMTS10	58	28	18	2	175	150
ADAMTS12	22	9	65	4	89	32
ADAMTS13	3	2	8	32	1	15
ADAMTS15	19	4	32	44	163	17
ADAMTS16	16	10	38	10	8	11
ADAMTS17	1	0	0	1	0	3
ADAMTS18	0	0	0	3	0	17
ADAMTS19	0	2	0	11	0	15
ADAMTS2	2	10	7	0	21	20
ADAMTS20	0	0	1	0	0	0
ADAMTS3	147	122	6	0	515	103
ADAMTS4	23	21	6	78	0	3
ADAMTS5	43	25	1	9	7	11
ADAMTS6	31	36	31	86	46	59
ADAMTS7	2	0	0	0	0	1
ADAMTS8	0	0	0	0	0	3
ADAMTS9	321	206	174	223	281	127
ADAMTSL1	6	2	137	37	19	23
ADAMTSL2	0	0	3	0	0	0
ADAMTSL3	0	0	0	0	1	1
ADAMTSL4	1	2	28	19	4	14
ADAR	53	42	220	96	96	75
ADARB1	7	5	93	28	44	27
ADARB2	0	0	0	1	0	2
ADAT1	38	15	34	6	17	18
ADC	0	0	7	12	7	2
ADCK1	28	10	13	5	21	9
ADCK2	11	2	81	23	8	33
ADCK4	106	87	78	21	84	61
ADCK5	4	5	10	2	12	8
ADCY1	186	158	148	59	63	30
ADCY2	0	0	1	0	23	13
ADCY3	14	15	108	166	27	46
ADCY5	9	7	1	0	1	36
ADCY6	182	78	257	519	376	599
ADCY7	19	9	43	98	44	49
ADCY8	0	0	0	7	0	0
ADCY9	21	11	36	43	41	12
ADCYAP1	0	0	2	0	0	7
ADCYAP1R1	3	4	0	1	127	6
ADD1	322	196	557	808	1109	898
ADD2	48	52	178	339	0	5
ADD3	448	581	380	400	680	630
ADFP	31	24	20	77	85	73
ADH1B	0	0	1	0	1	1
ADH1C	0	0	0	0	0	2
ADH4	3	0	0	0	6	8
ADH5	490	389	882	612	1368	928
ADHFE1	5	5	16	26	35	17
ADI1	181	170	262	204	213	63
ADIPOR1	102	71	304	123	208	211
ADIPOR2	26	12	74	40	31	36
ADK	135	153	476	287	195	117
ADM	78	40	186	215	323	99
ADM2	0	0	7	0	0	1
ADMP	0	0	1	10	0	3
ADMR	2386	2037	6339	8582	5108	6236
ADNP	253	246	578	615	961	515
ADORA1	3	11	17	132	27	35
ADORA2A	1	0	6	30	43	18
ADORA2B	7	1	158	42	2	12
ADPGK	2019	1928	6988	4998	3996	5000
ADPN	7	2	13	4	4	3
ADPRH	2	3	8	0	0	0
ADPRHL1	0	4	1	0	0	9
ADPRHL2	31	16	251	77	86	67
ADRA1A	0	0	0	0	0	3
ADRA1B	0	0	111	1	0	1
ADRA1D	1	0	10	2	0	1
ADRA2A	39	66	0	0	0	0
ADRA2B	0	0	0	0	1	0
ADRB1	11	6	39	12	11	26
ADRB2	0	2	0	4	0	1
ADRB3	17	17	57	10	17	8
ADRBK1	51	9	51	11	88	47
ADRBK2	4	5	1	18	14	20
ADRM1	189	150	837	204	405	226
ADSL	96	99	180	112	188	241
ADSS	165	166	835	386	526	258
ADSSL1	0	2	27	9	10	23
AE2	6	15	27	30	23	4
AEBP1	1856	1063	5913	4799	3115	3446
AEBP2	144	109	585	320	468	295
AEGP	3	0	1	9	25	20
AER61	3	14	22	11	2	3
AES	1381	864	876	292	1972	596
AF15Q14	1	0	5	0	1	2
AF1Q	24	26	52	45	84	32
AF5Q31	244	106	558	395	574	458
AFAP	139	104	94	480	84	63
AFAR3	6	6	6	11	15	9
AFF1	19	15	62	132	69	30
AFF2	0	1	0	0	8	1
AFF3	7	5	7	70	1	17
AFF4	1	1	0	6	0	0
AFG3L1	5	7	52	19	25	24
AFG3L2	107	74	200	88	94	107
AFMID	92	112	372	232	293	226
AFP	0	0	2	4	22	4
AFTIPHILIN	81	66	150	309	144	49
AG1	6	2	23	1	2	8
AGA	19	17	138	159	133	53
AGBL2	1	0	3	6	0	0
AGBL3	2	0	0	0	0	2
AGC1	8	2	0	0	0	0
AGER	4	3	23	0	3	4
AGGF1	52	35	174	130	184	100
AGL	71	13	127	209	374	169
AGMAT	5	5	13	1	6	0
AGPAT1	83	31	86	12	84	91
AGPAT2	2	1	57	0	1	11
AGPAT3	20	14	62	54	101	54
AGPAT4	51	41	50	45	64	21
AGPAT5	260	280	1004	1757	1149	417
AGPAT6	51	24	63	33	47	45
AGPAT7	25	11	144	7	48	41
AGPS	96	55	210	350	293	82
AGR2	21	7	11	12	14	106
AGRN	345	298	695	98	587	202
AGRP	0	0	1	0	0	0
AGT	948	860	6	79	0	1
AGTPBP1	28	29	54	9	47	40
AGTR1	0	0	5	0	0	2
AGTR2	0	0	0	0	0	7
AGTRAP	204	152	391	286	306	105
AGXT2L1	0	0	0	0	0	2
AHCTF1	69	53	220	33	41	37
AHCY	594	395	1024	463	489	769
AHCYL1	709	653	3271	745	767	428
AHDC1	8	2	7	5	11	21
AHI1	55	69	214	40	40	59
AHNAK	0	0	1	7	0	2
AHR	458	252	80	1326	1101	84
AHSA1	136	107	410	159	311	116
AHSA2	38	33	165	185	67	90
AHSG	0	0	0	2	0	0
AICDA	1	0	3	0	0	0
AIFL	0	0	0	0	0	3
AIG1	63	65	280	289	243	105
AIM1	2	0	45	58	0	0
AIM1L	0	0	2	0	0	0
AIP	87	115	259	453	468	135
AIP1	92	74	13	142	59	26
AIPL1	8	15	34	85	12	33
AK1	37	45	109	138	112	130
AK2	156	110	1380	415	316	306
AK3	197	101	390	106	131	173
AK3L1	14	22	69	21	52	38
AK5	9	4	33	36	16	14
AK7	1	1	0	13	0	5
AKAP1	42	39	169	18	47	39
AKAP10	86	81	440	557	309	102
AKAP11	78	90	97	3	76	49
AKAP12	72	103	77	196	370	236
AKAP13	26	45	50	40	79	29
AKAP14	9	1	7	0	11	18
AKAP3	3	4	0	9	3	4
AKAP6	29	34	87	206	18	25
AKAP7	57	59	108	225	410	334
AKAP8	51	54	93	80	106	63
AKAP8L	155	20	185	19	89	133
AKAP9	56	39	133	362	204	93
AKIP	1	0	9	0	0	0
AKNA	8	2	57	13	36	21
AKR1A1	126	183	348	140	306	161
AKR1B1	305	370	1860	520	156	150
AKR1B10	0	0	33	209	0	0
AKR1C1	0	1	1	0	0	16
AKR1C2	0	0	0	0	0	2
AKR1C3	0	4	15	1	0	9
AKR1C4	0	0	0	0	0	2
AKR1CL2	0	0	0	0	24	0
AKR1D1	11	9	5	5	4	2
AKR7A2	36	44	223	83	61	174
AKR7A3	3	1	4	4	0	2
AKT1	99	34	210	10	53	46
AKT1S1	14	4	5	7	1	4
AKT2	359	215	287	54	268	156
AKT3	217	192	717	365	606	232
ALAD	38	28	76	159	185	106
ALAS1	71	68	327	324	214	169
ALAS2	0	0	5	2	0	1
ALB	0	0	2	3	1	4
ALCAM	236	292	690	461	171	213
ALDH16A1	71	34	20	19	69	83
ALDH18A1	79	86	107	59	28	52
ALDH1A1	111	159	659	543	344	376
ALDH1A2	0	0	0	0	1	2
ALDH1A3	0	0	20	137	0	3
ALDH1B1	35	48	100	109	149	204
ALDH1L1	0	0	0	0	4	0
ALDH1L2	0	0	8	0	0	0
ALDH2	93	95	267	93	72	154
ALDH3A1	2	0	30	2	0	0
ALDH3A2	307	343	191	66	75	50
ALDH3B1	15	17	27	14	41	19
ALDH4A1	17	13	17	18	17	8
ALDH5A1	6	2	41	71	4	29
ALDH6A1	110	61	108	172	186	113
ALDH7A1	199	115	160	301	1139	279
ALDH8A1	5	1	7	0	0	0
ALDH9A1	45	55	107	36	153	32
ALDOA	501	372	2360	429	831	430
ALDOB	0	1	0	0	0	0
ALDOC	56	31	506	155	17	54
ALF	117	133	305	155	461	259
ALG1	13	4	19	0	17	16
ALG10	17	20	34	19	12	10
ALG12	27	11	17	9	48	17
ALG14	20	11	37	23	53	17
ALG2	24	30	58	101	33	20
ALG3	25	7	134	39	28	21
ALG5	39	52	135	42	63	64
ALG6	260	209	267	279	131	110
ALG8	61	39	87	81	43	67
ALG9	14	1	31	34	41	22
ALK	0	1	0	0	2	1
ALKBH	8	1	4	24	0	6
ALKBH1	67	59	111	113	82	92
ALKBH3	4	2	70	36	1	11
ALKBH4	32	26	59	23	16	47
ALKBH5	103	54	332	58	178	87
ALKBH6	23	9	31	0	14	10
ALKBH7	340	171	282	99	425	322
ALKBH8	18	39	9	3	0	6
ALLC	0	0	1	0	0	0
ALMS1	18	27	46	56	15	46
ALOX12	2	0	0	0	0	0
ALOX12B	0	0	3	1	0	0
ALOX12P2	0	0	0	0	7	1
ALOX15	0	1	0	0	0	0
ALOX15B	0	1	1	0	0	0
ALOX5	0	4	3	5	1	5
ALOX5AP	0	0	0	0	0	1
ALOXE3	0	0	1	0	0	0
ALPK1	101	56	277	138	148	110
ALPK2	56	26	42	200	68	13
ALPK3	0	0	1	0	2	2
ALPP	9	7	71	4	9	4
ALS2	125	79	158	361	193	193
ALS2CL	0	0	40	0	0	0
ALS2CR10	1	0	0	0	1	1
ALS2CR11	0	0	0	0	1	1
ALS2CR13	25	22	25	6	10	41
ALS2CR15	6	6	25	45	56	27
ALS2CR16	1	2	1	0	0	2
ALS2CR19	6	5	16	2	69	22
ALS2CR2	7	21	35	6	28	25
ALS2CR3	55	59	85	343	128	53
ALS2CR4	18	23	113	264	51	97
ALS2CR7	0	0	4	0	0	0
ALS2CR8	5	3	5	3	3	3
ALS4	222	178	316	403	746	423
ALX3	3	2	17	32	21	7
ALX4	0	0	0	0	0	1
AMACO	4	3	2	0	0	1
AMACR	15	14	21	85	219	41
AMBN	0	0	0	0	0	4
AMD1	68	93	285	57	118	123
AMDHD1	0	6	1	0	0	0
AMDHD2	18	8	15	10	13	7
AMFR	139	170	152	180	160	108
AMH	5	13	18	0	49	24
AMHR2	0	0	1	0	0	0
AMICA1	1	0	0	0	0	0
AMID	2	2	51	6	15	5
AMIGO	7	6	9	1	19	4
AMIGO1	2	6	5	0	2	2
AMIGO2	0	0	43	0	54	85
AMMECR1	41	21	122	103	0	17
AMN	4	0	0	0	10	10
AMOT	27	30	33	39	293	33
AMOTL1	171	123	84	475	384	167
AMOTL2	62	31	759	176	535	163
AMPD1	0	0	1	0	0	0
AMPD2	194	135	1018	962	565	784
AMPD3	12	55	10	11	3	0
AMPH	7	2	5	6	54	14
AMSH-LP	1	3	18	17	0	2
AMT	5	1	22	8	7	8
AMY1A	0	0	1	0	0	1
AMY2A	5	24	21	20	0	10
AMY2B	2	2	36	9	15	20
AMZ2	89	188	540	473	400	93
ANAPC1	26	15	49	24	26	31
ANAPC10	47	40	445	259	128	102
ANAPC11	496	234	1289	335	853	280
ANAPC13	137	90	758	572	456	323
ANAPC2	10	2	31	6	23	12
ANAPC4	18	29	29	66	44	9
ANAPC5	74	15	139	109	79	101
ANAPC7	85	90	178	249	282	125
ANGEL1	18	8	4	6	7	4
ANGEL2	19	16	36	48	14	17
ANGPT1	47	37	2	103	6	20
ANGPT2	0	0	0	5	6	0
ANGPTL1	27	22	45	11	114	74
ANGPTL2	46	76	17	78	9	6
ANGPTL4	2	0	5	6	31	8
ANGPTL7	0	0	1	4	2	0
ANK1	10	10	94	113	62	17
ANK2	660	440	2126	3532	3961	7036
ANK3	10	17	32	3	90	67
ANKDD1A	1	4	2	0	13	2
ANKFY1	83	109	59	71	171	89
ANKH	486	309	1464	1261	2539	2195
ANKHD1	95	70	446	285	157	184
ANKIB1	972	1032	450	2188	1245	335
ANKMY1	13	28	31	25	28	11
ANKMY2	53	49	183	313	120	76
ANKRA2	70	52	458	157	122	70
ANKRD1	0	2	11	0	8	18
ANKRD10	208	202	215	393	188	335
ANKRD11	17	5	62	71	68	33
ANKRD12	168	241	107	441	204	162
ANKRD13	83	77	164	131	158	72
ANKRD13B	145	150	57	30	141	35
ANKRD13C	3	1	10	0	12	1
ANKRD13D	15	4	40	0	17	20
ANKRD15	263	334	138	181	51	51
ANKRD16	11	8	45	14	25	42
ANKRD17	152	125	173	252	205	146
ANKRD19	4	0	7	0	0	1
ANKRD2	0	0	1	0	0	0
ANKRD20A	9	14	34	15	21	5
ANKRD20A1	0	2	3	0	0	2
ANKRD20B	0	0	0	3	2	1
ANKRD21	0	0	1	0	0	0
ANKRD23	20	10	36	9	8	14
ANKRD24	1	2	4	4	0	0
ANKRD25	149	101	161	191	125	190
ANKRD26	39	62	78	63	46	90
ANKRD27	69	68	174	85	65	58
ANKRD28	200	185	718	618	260	104
ANKRD29	0	0	16	20	0	1
ANKRD30B	1895	1956	2557	3113	3878	1192
ANKRD32	37	27	120	134	45	67
ANKRD36	2	16	5	0	6	2
ANKRD37	13	10	65	31	50	10
ANKRD38	2	2	0	0	0	4
ANKRD39	9	6	20	10	11	8
ANKRD40	5	7	51	64	6	18
ANKRD42	12	22	68	10	7	22
ANKRD44	0	8	5	5	0	2
ANKRD45	0	0	0	0	0	2
ANKRD46	10	11	27	9	20	12
ANKRD47	4	1	2	0	0	0
ANKRD49	1	1	8	0	0	0
ANKRD5	1	1	39	108	8	31
ANKRD50	0	0	2	0	0	0
ANKRD52	132	174	550	1251	2585	463
ANKRD6	42	76	168	172	290	75
ANKRD7	3	9	18	0	5	0
ANKRD9	72	70	173	123	288	137
ANKS1	15	21	13	64	14	39
ANKS1A	7	5	17	7	9	9
ANKS1B	85	71	34	159	632	23
ANKS3	6	4	14	1	12	11
ANKS6	11	10	10	5	13	7
ANKZF1	41	34	132	4	63	38
ANLN	74	94	247	561	151	114
ANP32A	170	143	275	272	482	464
ANP32B	413	482	1696	942	486	455
ANP32C	0	0	0	0	1	0
ANP32E	348	308	802	527	330	639
ANPEP	0	0	0	0	3	0
ANTXR1	89	81	75	83	422	495
ANTXR2	83	61	58	274	1336	162
ANUBL1	10	6	1	8	38	8
ANXA1	103	60	12936	10109	5139	678
ANXA10	0	0	3	16	0	0
ANXA11	169	151	505	181	182	66
ANXA13	0	0	4	6	12	1
ANXA2	621	281	5927	3371	6424	1643
ANXA2P1	0	0	1	0	0	0
ANXA2P3	2	1	20	7	12	4
ANXA3	0	0	9	1	0	3
ANXA4	27	94	181	196	47	76
ANXA5	874	1446	5577	4097	6287	969
ANXA6	164	102	100	18	154	155
ANXA7	230	198	855	607	375	276
ANXA8	3	0	2	0	0	0
ANXA9	3	1	4	4	0	0
AOAH	2	6	4	6	5	2
AOC2	5	8	13	8	21	1
AOC3	4	0	2	0	0	0
AOF1	41	35	114	116	98	56
AOF2	287	222	358	300	355	180
AOX1	0	0	21	16	0	0
AP1B1	67	36	88	12	54	112
AP1G1	308	300	480	2439	1420	590
AP1G2	13	3	3	7	0	3
AP1GBP1	95	124	206	74	125	57
AP1M1	64	18	105	1	22	31
AP1S1	10	2	19	0	6	14
AP1S2	1445	1912	1095	2119	3771	1609
AP1S3	3	7	1	50	45	6
AP2A1	33	7	96	3	109	29
AP2A2	10	2	39	3	33	18
AP2B1	467	485	418	201	976	215
AP2M1	509	271	1413	64	960	363
AP2S1	95	32	260	15	196	76
AP3B1	424	332	604	1162	884	724
AP3B2	9	11	45	16	39	19
AP3D1	1299	1129	1316	2252	3153	1016
AP3M1	206	254	178	65	275	163
AP3M2	34	31	164	251	135	66
AP3S1	259	113	962	592	495	701
AP3S2	36	53	143	87	179	112
AP4B1	25	30	50	25	24	29
AP4E1	23	23	60	70	117	34
AP4M1	73	34	94	116	65	52
AP4S1	36	30	49	62	51	42
APAF1	56	64	45	138	97	43
APBA1	19	4	2	0	0	8
APBA2	135	74	46	523	172	167
APBA2BP	9	2	44	2	35	19
APBA3	50	14	54	48	29	28
APBB1	182	85	141	133	303	469
APBB1IP	1	1	4	0	0	1
APBB2	121	87	130	102	339	155
APBB3	4	3	6	0	20	17
APC	44	59	45	65	149	71
APC2	24	10	20	4	11	43
APCDD1	158	101	8	16	5	22
APEG1	11	6	71	100	298	56
APEH	174	254	368	238	897	155
APEX1	2812	3414	5871	11806	7047	4136
APEX2	38	31	113	29	34	10
APG10L	16	10	102	88	39	43
APG12L	42	29	303	127	171	68
APG16L	7	0	6	0	0	2
APG3L	13	7	17	3	4	9
APG4A	0	0	2	0	2	0
APG4B	104	82	46	13	44	12
APG4C	19	16	16	8	7	13
APG4D	2	0	1	0	6	2
APG5L	17	9	31	18	28	17
APG7L	39	34	46	14	61	52
APG9L1	4	3	3	0	0	2
APH-1A	16	17	25	6	22	8
APH1A	277	257	451	414	846	224
APH1B	2	3	4	0	7	3
API5	1068	1275	3408	2764	3970	1228
APIP	102	84	538	114	106	100
APLN	1	1	0	0	144	35
APLP1	696	516	813	2254	7476	1482
APLP2	3233	3173	4317	6576	14425	1522
APOA1BP	67	61	387	49	55	112
APOA2	0	0	4	4	0	2
APOA4	0	0	0	0	1	0
APOB	0	0	0	0	1	0
APOBEC2	0	0	0	0	4	6
APOBEC3B	24	28	363	232	62	39
APOBEC3C	211	260	701	619	585	265
APOBEC3F	1	2	29	27	30	6
APOBEC3G	3	0	51	4	18	0
APOC1	3	5	21	2	2	1
APOC2	10	8	1	0	0	0
APOC4	0	0	1	0	0	0
APOD	370	645	19	8	1	81
APOE	123	126	65	20	55	85
APOF	0	0	0	0	1	0
APOH	0	3	2	1	0	0
APOL1	3	5	122	612	43	12
APOL2	7	7	65	5	14	7
APOL3	0	0	16	15	1	1
APOL4	0	4	0	0	0	1
APOL6	49	36	325	207	150	44
APOLD1	11	7	26	29	8	15
APOM	11	18	31	11	18	16
APP	3539	2865	4132	7618	8142	3394
APPBP1	32	20	180	124	113	66
APPBP2	108	156	104	95	310	160
APPL	171	142	412	291	342	355
APRIN	139	201	123	162	294	192
APRT	99	95	205	67	94	54
APS	9	2	30	1	6	7
APTX	65	53	167	67	162	79
APXL	4	14	133	157	207	65
APXL2	8	2	44	7	3	2
AQP1	9	2	9	0	0	0
AQP11	3	6	31	100	27	7
AQP3	0	0	5	0	0	2
AQP4	3	0	0	0	8	35
AQP5	1	0	0	0	0	4
AQP6	0	0	0	1	0	0
AQP7	8	2	0	0	0	0
AQP7P1	20	38	14	0	0	10
AQR	67	60	171	163	271	204
AR	8	13	11	0	4	1
ARAF	106	69	217	101	340	57
ARC	16	9	7	4	450	12
ARCH	84	74	206	177	197	121
ARCN1	142	82	296	244	162	125
ARD1	12	6	48	0	8	7
ARD1A	61	61	342	41	100	79
AREG	0	1	0	3	0	0
ARF1	393	196	911	96	291	249
ARF3	366	265	1120	247	911	528
ARF4	330	292	3415	1278	1214	319
ARF4L	22	16	70	49	44	33
ARF5	28	29	86	24	7	10
ARF6	182	149	907	815	589	326
ARFGAP1	7	1	7	6	4	5
ARFGAP3	25	7	75	7	57	51
ARFGEF1	28	41	75	88	89	66
ARFGEF2	74	75	427	114	314	105
ARFIP1	74	89	179	219	206	164
ARFIP2	47	24	119	8	36	69
ARFRP1	9	6	77	11	30	6
ARFRP2	29	25	39	33	39	95
ARG1	0	0	2	3	0	1
ARG2	110	103	77	249	195	102
ARG99	1	0	3	0	0	1
ARGBP2	39	15	70	45	190	145
ARH	2	5	17	4	1	3
ARHE	11	13	23	3	0	32
ARHGAP1	1080	980	1319	815	1450	797
ARHGAP10	12	0	12	0	0	5
ARHGAP11A	20	6	192	84	22	54
ARHGAP12	385	383	175	432	968	368
ARHGAP15	7	2	3	3	1	5
ARHGAP17	131	106	317	507	420	387
ARHGAP18	15	1	92	62	183	75
ARHGAP19	14	8	16	8	67	16
ARHGAP20	109	45	1	20	0	0
ARHGAP21	135	62	131	81	313	234
ARHGAP22	28	37	11	122	59	6
ARHGAP23	103	139	335	385	288	184
ARHGAP24	14	7	10	23	199	12
